rOut_0,rOut_1,rOut_2,hT_0,hT_1,hT_2,f_0,f_1,f_2,extent,sob,flash_edep
106.5711,120.0000,120.0000,0.082679,0.080199,0.010000,0.5921,0.5210,0.4516,1625.1860,3.28000,2.92603e-07
50.0000,120.0000,120.0000,0.102208,0.085254,0.010000,0.5483,0.4930,0.2938,2000.0000,3.71000,4.55969e-07
120.0000,120.0000,50.0000,0.010000,0.150000,0.010000,0.5650,0.8839,0.9500,400.0000,1.47000,9.48288e-08
120.0000,120.0000,50.0000,0.017634,0.064432,0.150000,0.4259,0.1194,0.8648,1975.4491,4.41000,9.14998e-07
120.0000,120.0000,50.0000,0.010000,0.081009,0.150000,0.0024,0.4677,0.9500,2000.0000,3.70000,4.30648e-07
119.0275,105.6661,59.6791,0.010000,0.089786,0.010000,0.1534,0.6123,0.9500,590.1576,3.01000,3.04100e-07
120.0000,120.0000,50.0000,0.010000,0.010000,0.010000,0.9121,0.9332,0.9500,797.1079,0.12900,6.56959e-08
50.0000,120.0000,120.0000,0.010000,0.150000,0.010000,0.4043,0.9500,0.9500,2000.0000,1.63000,1.26345e-07
120.0000,120.0000,120.0000,0.010000,0.010000,0.150000,0.0000,0.0000,0.9401,2000.0000,3.37000,4.81697e-07
120.0000,120.0000,50.0000,0.010000,0.010000,0.010000,0.9500,0.7377,0.9500,400.0000,0.43000,7.47017e-08
57.5766,91.3819,120.0000,0.149997,0.078132,0.149785,0.6714,0.6033,0.0000,856.9935,3.89000,9.13711e-07
120.0000,120.0000,120.0000,0.082218,0.075949,0.150000,0.0000,0.1622,0.5419,2000.0000,4.11000,9.73590e-07
120.0000,120.0000,120.0000,0.029199,0.077555,0.150000,0.5449,0.0740,0.2896,2000.0000,4.49000,1.33832e-06
120.0000,120.0000,120.0000,0.010000,0.053103,0.010000,0.8560,0.8916,0.8685,400.0000,0.63400,6.12305e-08
114.5034,106.0655,86.3762,0.082714,0.150000,0.134843,0.0000,0.5227,0.5616,1887.4657,3.66000,7.48053e-07
120.0000,120.0000,120.0000,0.010000,0.061805,0.150000,0.9500,0.3567,0.1020,400.0000,3.33000,8.89971e-07
103.2830,118.9537,118.6492,0.150000,0.150000,0.010000,0.9303,0.9464,0.9500,1648.6351,0.73600,7.21456e-08
120.0000,120.0000,120.0000,0.010000,0.065212,0.010000,0.7833,0.7499,0.6896,400.0000,1.52000,8.14963e-08
120.0000,120.0000,120.0000,0.088394,0.150000,0.010000,0.0000,0.5503,0.4868,2000.0000,3.31000,5.54831e-07
120.0000,73.7522,59.8989,0.010000,0.150000,0.010000,0.9350,0.9236,0.9500,1633.2285,1.21000,1.68609e-07
104.2644,119.9705,120.0000,0.053625,0.096776,0.019312,0.4167,0.4908,0.5680,1896.6766,3.49000,3.56066e-07
66.7040,105.8288,88.8884,0.133965,0.142354,0.150000,0.0000,0.7121,0.3744,1969.7556,3.79000,7.61527e-07
120.0000,120.0000,120.0000,0.010000,0.010000,0.010000,0.9445,0.8493,0.5975,917.1952,0.40400,6.73321e-08
50.0000,120.0000,120.0000,0.049521,0.049794,0.150000,0.9500,0.0000,0.0000,2000.0000,4.75000,1.45837e-06
